10 , 4.373927958833619 3.640443801879883
20 , 4.116638078902241 7.254359006881714
30 , 4.17381360777587 10.946860074996948
40 , 4.059462550028599 14.453556299209595
50 , 4.116638078902241 18.076303005218506
60 , 3.859348198970835 21.65496277809143
70 , 3.9165237278444778 25.26583695411682
80 , 3.9165237278444778 28.955317974090576
90 , 3.8879359634076565 35.34721231460571
100 , 3.859348198970835 36.89331674575806
110 , 3.8879359634076565 41.592551946640015
120 , 3.945111492281299 45.0575213432312
130 , 3.945111492281299 50.06226849555969
140 , 3.945111492281299 52.045140981674194
150 , 3.8879359634076565 56.26949501037598
160 , 3.9165237278444778 59.631070137023926
170 , 3.830760434534014 61.991820096969604
180 , 3.8021726700972067 67.30913996696472
190 , 3.8021726700972067 69.30679416656494
200 , 3.7164093767867286 73.53357243537903
210 , 3.6878216123499215 75.70995926856995
220 , 3.659233847913086 82.43083953857422
230 , 3.659233847913086 94.5128824710846
240 , 3.6878216123499215 97.5524628162384
250 , 3.7164093767867286 110.05661749839783

